date,source,domain,url,title,text,themes
20260305010000,dailymail.co.uk,dailymail.co.uk,https://www.dailymail.co.uk/travel/article-15613693/when-middle-east-flights-predicted-resume-expert-reveals.html,When are Middle East flights predicted to resume? Experts reveal when travel will return to normal - and why it may not be for years,"As travel chaos continues to take hold across the Middle East, many Brits - both at home and those stranded in the region - are, understandably, anxious to know when flights will resume.

In light of the wave of violence and unrest in the Middle East, Brits travelling to and within the Middle East are facing severe disruption to their holidays.

Flights to many major hubs across the region have been cancelled or suspended.

It comes after US and Israeli strikes on Iran over the weekend were met with missile attacks from Iran across the region.

While flights are slowly beginning to repatriate those stranded in the region, commercial flights are yet to start back up with full force. Meanwhile, last night's planned chartered flight organised by the UK Government to bring Brits home from Oman failed to take off.

Here's everything you need to know about when Middle East flights are predicted to resume...

Major hubs in the region, such as Dubai Airport, have been disruption as a result

When are flights set to resume?

It is unclear exactly when flights are set to resume.

However, some airlines, including British Airways, are starting to operate flights from places like Oman.

And aviation analytics firm Cirium anticipates cancellations will continue for at least a week. It will be both country and airline specific.

Many airlines have ruled out the possibility of any flights being scheduled until at least Thursday, the Guardian reported.

According to Travel Risk Management membership community The Trip Group, Syrian airspace will be closed until 8 March.

In Iraq, the nationwide airspace closure is extended until 7 March.

Meanwhile, for the Gulf states, the UAE, Saudi Arabia, Qatar, and Kuwait have partially or fully closed airspace.

Anton Radchenko, aviation expert and founder at AirAdvisor, tells the Daily Mail: 'If there's no further escalation, I would expect a meaningful ramp-up over the next several days on key Gulf routes.

'But a full return to normal like reliable daily frequencies, minimal rerouting, normal connection banks through major hubs, typically takes longer because airlines need to reposition aircraft and crews, clear backlogs, and rebuild missed rotations.

'Even after the first flights restart, disruption can echo globally for a week as networks re-balance.'

Anton Radchenko, aviation expert and founder at AirAdvisor, weighed in on the matter

Benjamin Wohl, chief operating officer at private jet charter company Tribeca Jets

Benjamin Wohl, chief operating officer at private jet charter company Tribeca Jets, added: 'Depending on circumstances, you may see a gradual return to normal in some areas, while others are still shuttered. Timing is directly correlated to the everchanging developments on the ground and there is no telling while things are still volatile.

'Israel is beginning to consider a few inbound flights an hour to return some of it's citizens who have been stranded abroad. You may begin to see more of the same in Bahrain, Qatar, UAE, etc. within the next couple of weeks. Experts have predicted a two to five-week conflict.

'If those predictions hold, expect a normal return to air traffic in the weeks following a cessation of hostilities. Another possibility is a limited return if the fighting goes from all-out war to a lower intensity, especially if contained to one or two countries.

'In that situation, you will see what you currently see in regard to the years-long battle with Ukraine, airlines simply avoiding the direct airspace of the warring nation. As of now, only the ultra-wealthy have been able to get in or out on rare private aircrafts.'

Will things go back to normal immediately?

Even when airspace does start to open up, it's unlikely things will go back to normal straight away.

Anton said: 'Right now, the best way to think about when flights will resume is in phases. We're already seeing the first phase: limited, tightly controlled operations returning on the lowest-risk corridors, with carriers restarting selectively and keeping schedules fluid.

'The resumption of services like London-Dubai and London-Riyadh is a strong signal that parts of the network can operate again when airspace and risk assessments allow.

'The second phase is what most passengers will feel: broader commercial schedules returning, but with short-notice cancellations and reroutes still likely.

'The region's airspace picture is not open/closed in a binary way, it can change hour by hour depending on security events and NOTAMs, and that is why airlines will continue to publish conservative timetables and then scale up only when stability holds.'

Anton went on to say: 'For travellers, the practical takeaway is to treat the next few days as a fragile recovery period. Confirm flight status frequently, keep routing options flexible, and if you're connecting via major hubs, assume schedules may change at short notice while airspace restrictions remain dynamic.'

Earlier in the week, travel expert Simon Calder said it is unlikely flights would be up and running at full capacity soon.

He explained: 'Just bear in mind that every day that there are no flights going in and out of the world's busiest international airport, Dubai, and Doha, and Abu Dhabi, that is two and a half thousand flights and about half a million people. The numbers are really staggering.

'Every hour generally, on average, 20,000 people land and depart from those airports, and so you have a massive problem building up.

'And certainly the numbers haven't been added to because, of course, people are there, but what's happening is that people's holidays are ending and so they are being added to the back of the queue at the airport.'

He added: 'So it's going to take some time to get this back to normal and I simply hope that it is done with the maximum energy - and indeed money - just to try to make sure that people are back when they need to be as soon as possible.'

What airspace is closed in the Middle East?

Countries across the Gulf have closed their airspaces.

Airspace over the UAE, Qatar, Kuwait, Israel, Bahrain, Iraq and Jordan remained almost completely empty on Wednesday morning, flight tracking website Flightradar24 demonstrated.

Have any airlines already started running flights?

Last night, the first UK government chartered flight set to fly Brits home from Oman failed to take off.

Terrified passengers were said to be smashing on windows and having panic attacks as they sat helplessly on the plane on the tarmac in Muscat. One described the ordeal as a 'total s***show'.

It had been scheduled to depart from the Omani capital at 11pm GST on Wednesday, but could not 'due to the pilot's hours clocking up'.

In a statement from the Foreign Office they claimed that it was due to 'technical issues', but add that it is now expected to take off later today.

Meanwhile, British Airways will run a number of flights from Oman to the UK in attempt to bring thousands of stranded Brits home from the Middle East amid the ongoing conflict.

British Airways is set to run a number of flights from Oman to Heathrow

The airline has announced it will run flights from Muscat in Oman to London Heathrow on March 6 and 7.

The flights later in the week will be for customers who had bookings with the airline but are now stranded in Oman or the UAE.

But Qatar Airways has said that scheduled flight operations remain temporarily suspended due to the closure of Qatari airspace.

Qatar Airways will resume operations once the Qatar Civil Aviation Authority announces the safe reopening of Qatari airspace.

A Virgin Atlantic spokesperson said: 'Following the reopening of airspace in the Middle East, our services between London Heathrow and Dubai and Riyadh restarted on Tuesday 3 March. The safety and security of our customers and people is always our top priority, and our flights are subject to ongoing assessments.

'We are contacting customers regarding their travel arrangements and rebooking customers affected by cancelled flights, prioritising the rebooking of those registered as away from home. We'd like to thank them for their patience and understanding and recommend that all customers due to travel to or from Dubai and Riyadh over the next 48 hours check the status of their flight on virginatlantic.com before going to the airport.

'We continue to monitor the situation in the Middle East with ongoing dynamic assessments and active changes to our flight routings based on the latest information and guidance, if required.'

What's opened back up so far?

Thousands of British nationals have started arriving home from the war-torn Middle East as airlines have ramped up flights out of the UAE and the Government chartered its first emergency evacuation flight.

The Government appears to be relying on commercial airlines to get passengers back home, chartering just a single flight from Oman with no plans in place for a wide-scale evacuation - although this flight, scheduled for last night, failed to take off.

On Tuesday, Emirates operated seven flights from Dubai to the UK while Etihad had two departures from Abu Dhabi. Virgin Atlantic is operating a flight from Dubai to London Heathrow.

British Airways has not restarted its usual flying programme from the region, but will run an evacuation flight to Heathrow from Muscat, which it does not usually serve.

Wizz Air has not started any flights in the affected region.

But Etihad and TUI are working on repatriation flights.

When might Dubai airport reopen?

While Dubai airport is not running many flights, a few carriers have launched a number of flights.

In a statement, Emirates said: 'Emirates can confirm that it is currently operating a reduced flight schedule until further notice. This follows the partial re-opening of regional airspace for the safe conduct of commercial flights.

'For 5 and 6 March, over 100 flights will depart from Dubai and return. These flights will carry people eager to reach their final destinations, as well as essential cargo like perishables and pharmaceuticals.

'Emirates will continue to gradually build back its flying schedule, subject to airspace availability and all operational requirements being met. Safety is always our top priority.

'We continue to monitor the situation and adapt our operations accordingly.

'For now, customers should only proceed to the airport if they have a confirmed booking.

'We urge all customers to check emirates.com and our official social media channels, where we will publish the latest updates.'

Should I cancel my holiday to the Middle East?

If you are planning to head to an area with a new warning, you may be able to cancel your trip and likely be compensated.

If you have a trip booked to an area unaffected by the latest escalation, it is unlikely that you will be able to claim your money back.

For areas where the FCDO advises against travel, ignoring advice could invalidate your insurance.

Holidaymakers already in affected areas are advised to contact their insurance provider.

Speak to your insurer if you have any concerns or to confirm if your cancellation will be covered by insurance.",UNGP;CLOSURE;EPU;EVACUATION;GOV;;GEN;CRISISLEX;TRAFFIC;ARMEDCONFLICT;MANMADE;SOC;PROTEST;AFFECT;DELAY;TAX;GENERAL;WB
20260305010000,dailymail.co.uk,dailymail.co.uk,https://www.dailymail.co.uk/news/article-15615695/Baby-death-Elizabeth-Downs-Adelaide.html,"Nine-month-old baby is found dead in Elizabeth Downs home with piles of child-related junk including a potty out the front - as woman, 31, is arrested","A woman has been charged after a nine-month-old boy was found dead inside a home in Adelaide's north.

Emergency services raced to the scene in Midlow Road, Elizabeth Downs, about 8pm on Wednesday following reports the baby had been found unresponsive.

The baby was unable to be revived, despite the best efforts of paramedics and neighbours.

Photos from the scene showed a heavy police presence at the home, along with multiple ambulances and a fire truck.

Baby items, including a car seat, bouncer, toilet potty, and bath were spotted strewn outside the home the following morning.

Detectives have launched an investigation into the baby's death and were at the scene for much of the night.

Following further inquiries, a 31-year-old woman who lived at the property was charged with criminal neglect.

She was bailed to appear in the Elizabeth Magistrates' Court on April 14.

Baby items, including a car seat, bouncer and bath were outside the home on Thursday

Police inquiries into the baby's death at the Elizabeth Downs home (pictured) continue

A baby boy has died after he was found unresponsive at a home in Adelaide's north

Police are yet to reveal the woman's relationship with the baby boy.

A report will be prepared for the coroner as detectives continue to examine the circumstances surrounding the baby's death.

A neighbour told the Adelaide Advertiser that she and others gave the baby CPR after the parents discovered him unresponsive.

They managed to restore a faint heartbeat before the baby later died.

'They worked on the baby for 10 to 15 minutes before the ambulances arrived,' one neighbour said.

Investigators returned to the street on Thursday to examine the home and door-knock shocked residents.

'There was one big ambulance and three or four four-wheel-drive ambulances and a fire truck and about six police cars,' Jasmine Hudson told the ABC.

Multiple emergency crews, including a fire trick, were called to the scene

'It's heartbreaking and I feel for the people it happened to.'

Another neighbour added: 'That is so horrible... I've got a grandbaby and two children of my own.'",DISASTER;;KILL;CRISISLEX;SECURITY;ACT;MANMADE;TAX;GENERAL;WB
20260305011500,yahoo.com,finance.yahoo.com,https://finance.yahoo.com/news/merchants-bancorp-price-target-raised-131554037.html,Merchants Bancorp price target raised to $51 from $42 at Morgan Stanley,"Morgan Stanley raised the firm’s price target on Merchants Bancorp (MBIN) to $51 from $42 and keeps an Equal Weight rating on the shares. The firm is increasing price targets by a median 8% across the midcap banks group. While noting that recent outperformance means “the bar is higher from here,” the firm remains optimistic on the group, citing tailwinds from loan growth, net interest margin and capital return.

Published first on TheFly – the ultimate source for real-time, market-moving breaking financial news. Try Now>>

See the top stocks recommended by analysts >>

Read More on MBIN:

Disclaimer & DisclosureReport an Issue",TAX;
20260305013000,indiatimes.com,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/bajaj-consumer-rides-high-on-strong-q3-new-launches/articleshow/129059640.cms,"Bajaj Consumer rides high on strong Q3, new launches","It seems like you're already an ETPrime member with

Login using your ET Prime credentials to enjoy all member benefits

Log out of your current logged-in account and log in again using your ET Prime credentials to enjoy all member benefits.",;RURAL;EPU;ECON;URBAN;AFFECT;TAX;ENV;WB
20260305033000,yahoo.com,yahoo.com,https://www.yahoo.com/news/articles/ex-guerrillas-battle-low-support-011804236.html,Ex-guerrillas battle low support in Colombia election,"Colombia's bid to bring former guerrillas into the political fold faces a major test at Sunday's legislative elections, as ex-FARC fighters struggle to win over voters.

Sandra Ramirez, 63, smiles and cuts a friendly figure as she dances, waves flags, and gives speeches canvassing for votes in Bogota.

Just a few years ago she was better known as Griselda Lobo, or Wolf, a left-wing guerrilla leader and partner of the feared Revolutionary Armed Forces of Colombia (FARC) founder and top commander Manuel ""Sure Shot"" Marulanda.

Advertisement Advertisement

Ramirez has been a Colombian senator since 2018, but has not yet had to win a single vote.

Her party of ex-fighters was granted 10 seats in the Senate and Congress as part of a 2016 peace deal designed to bring ex-combatants into the political mainstream.

Although some dissident guerrilla groups remain active, the deal brought about a transformation for Colombia -- about 13,000 fighters and collaborators demobilized and returned to civilian life.

But on Sunday, the electoral arrangement effectively comes to an end.

After more than half a century of trying and failing to seize power by force, these ex-guerrillas-turned-politicos will live or die by the ballot.

Advertisement Advertisement

""Scraping for votes has not been easy,"" Ramirez told AFP on the campaign trail.

The party, Comunes, has garnered less than one percent of the vote in past elections.

Even if another ex-guerrilla, Gustavo Petro, won the presidency in 2022 by leading a broad left-wing coalition, after decades of bloody armed conflict, many Colombians are not ready to forgive and forget.

Ramirez still faces insults from voters who reject her guerrilla past and accuse her of war crimes like recruiting minors.

Her party leader, ex-FARC commander Rodrigo Londonno, ""Timochenko,"" was recently found responsible for more than 21,000 kidnappings.

Advertisement Advertisement

Ramirez even avoids her own party's logos.

There is still an ""irreconcilable tension"" between right-wing opponents of the peace deal and candidates like Ramirez, said Rafael Quishpe, a researcher at the University of Giessen.

Comunes will need at least 750,000 of 41 million votes to continue to be recognised as a political party. Even that might be a stretch.

Political violence has darkened this campaign season, which has been the most violent in decades and has seen numerous attacks on candidates.

Presidential frontrunner and right-wing senator Miguel Uribe was assassinated last year while campaigning.

Advertisement Advertisement

Ramirez's dissident former allies are among the suspects.

But 10 years after the accords and in the face of electoral doom, Ramirez and most demobilized fighters say they remain committed to peace.

Despite the difficulties, the party ""will continue,"" she said, albeit without ""giant steps.""

""The eight years in Congress were worth it"", she said, if only to end the ""long night of war.""

das/arb/mlm",;KILL;CRISISLEX;CEASEFIRE;GENERAL;WB;SEIZE;ALLIANCE;ASSASSINATION;ARMEDCONFLICT;SCIENCE;RECRUITMENT;EPU;SELF;UNGP;EDUCATION;USPEC;SOC;ELECTION;TAX;TAKE;EXTREMISM
20260305040000,yahoo.com,yahoo.com,https://www.yahoo.com/news/articles/auroras-jupiters-giant-moon-ganymede-190000397.html,"Auroras on Jupiter's giant moon Ganymede look like Earth's northern lights, NASA spacecraft reveals","When you buy through links on our articles, Future and its syndication partners may earn a commission.

A composite image of Ganymede's aurora showcases the ultraviolet data gleaned by NASA's Juno spacecraft. | Credit: NASA/JPL-Caltech/SwRI/UVS/ULiège/Gusbin/Bonfond

A fleeting flyby of Ganymede has revealed that its shimmering auroras may behave far more like Earth's than scientists expected.

During a close pass on July 7, 2021, NASA's Juno spacecraft captured the most detailed ultraviolet views yet of a Jovian moon's glowing polar lights. The new analysis, completed by a team led by the Laboratory of Atmospheric and Planetary Physics (LPAP) at the the University of Liège, shows that Ganymede's auroras are not smooth, continuous ovals. Instead, they splinter into small, bright patches — structures that mirror features seen in Earth's own auroral displays.

Advertisement Advertisement

""Similar structures, known as 'beads', have been observed in the auroras of Earth and Jupiter , where they are linked to sub-storms and dawn storms, large-scale rearrangements of the magnetosphere that release enormous amounts of energy and produce intense auroral activity,"" Alessandro Moirano, a postdoctoral researcher at LPAP, said in a statement .

While we know auroras aren't unique to Earth — they've been seen on Venus , Mars , Jupiter, Saturn and Uranus — Ganymede is the only moon we know of that has its own magnetic field, which is a crucial ingredient for auroras. On Earth, the aurora occurs when charged solar particles slam into the magnetosphere, which directs them toward the poles. These particles then interact with gases in the atmosphere and glow various colors, including green and red. On Ganymede, the auroras are produced via interactions with Jupiter's vast magnetosphere rather than the solar wind.

""Observations of Ganymede's auroras prior to Juno were limited by the spatial resolution of ground-based observations, and they could not resolve the small-scale structures typical of planetary auroras,"" said Philippe Gusbin, whose master's thesis inspired the study. Juno's ultraviolet spectrograph resolved details just a few kilometers across, revealing the ""beads"" in the aurora.

Because Juno's encounter with Ganymede lasted less than 15 minutes — and the spacecraft will not return — researchers cannot yet determine how often these ""bead"" features appear. That task may fall to JUICE , the European Space Agency mission en route to Jupiter, which is expected to begin extended studies of Ganymede after its arrival in 2031.",;EDUCATION;SCIENCE;SOC;TAX;ENV
20260305041500,indiatimes.com,timesofindia.indiatimes.com,https://timesofindia.indiatimes.com/business/international-business/asian-stocks-today-markets-inch-higher-mirroring-wall-street-gains-kospi-jumps-10-nikkei-up-1400-points/articleshow/129064507.cms,"Asian stocks today: Markets inch higher mirroring Wall Street gains; Kospi jumps 10%, Nikkei up 1,400 points","Asian stocks inched higher on Thursday, after days of trading in red amid ongoing Middle East tensions. This comes as equities were lifted by a rebound on Wall Street as oil prices paused their recent spike and economic updates painted a more positive picture of the American economy.In South Korea, Kospi hit a pause on its downward rally to add a whopping 10% or 513 points, to reach 5,606. Japan’s Nikkei 225 also climbed 2.7% to 55,713. Hong Kong's HSI also traded in green, rising 353 points to 25,603 as of 9:10 am. Shanghai and Shenzhen added 0.9% and 1.7% respectively.Gains elsewhere in the region were more modest. Australia’s S&P/ASX 200 added 0.3% to 8,927.20, while New Zealand’s benchmark index moved 0.9% higher.In contrast, US futures indicated a subdued start ahead. Futures linked to the Dow Jones Industrial Average were almost unchanged, while S&P 500 futures ticked up 0.2%. The S&P 500 advanced 0.8% on Wednesday, clawing back much of the decline seen since the onset of the Iran conflict. The Dow Jones Industrial Average rose 0.5%, and the Nasdaq Composite outperformed with a 1.3% gain.Globally, market sentiment has remained sensitive to developments in the Middle East, with oil price swings continuing to steer trading direction.Crude prices eased during Wednesday’s session. Brent crude briefly moved above $84 a barrel before settling at $81.40, roughly matching the previous day’s level. US benchmark crude edged up 0.1% to finish at $74.66 per barrel.By early Thursday, however, oil was on the rise again. Brent crude climbed 2.4% to $83.32 per barrel, while U.S. benchmark crude jumped 2.5% to $76.53 per barrel.",;EPU;ECON;USPEC;TAX;ENV;WB
20260305043000,yahoo.com,yahoo.com,https://www.yahoo.com/news/articles/iranian-sailors-recovering-sri-lankan-035120767.html,Sri Lanka offloads 208 crew members from second Iranian ship a day after US strike sinks frigate,"By Uditha Jayasinghe

GALLE, Sri Lanka, March 5 (Reuters) - Sri Lanka started to offload 208 crew members from a second Iranian vessel off its coast on Thursday, a day after 87 people were killed and several ‌others were still missing after a U.S. submarine strike on an Iranian warship in the same region.

""After detailed discussions ‌with all parties, Sri Lanka has decided to assist the Iranian vessel,"" Sri Lankan President Anura Kumara Dissanayake told a press briefing in Colombo.

Advertisement Advertisement

The crew being ​offloaded included 53 officials, 84 cadets, 48 senior sailors and 23 sailors, Dissanayake said. Some crew members would remain on board to help the Sri Lankan Navy navigate the vessel to Trincomalee Port in the eastern part of the island, he added.

The ship was near the port of Colombo, in the country's exclusive economic zone but outside its maritime boundary, Dissanayake said.

""We worked on the stance ‌that this is our humanitarian responsibility,"" he ⁠told the briefing.

RESCUERS STILL SEARCHING FOR 10 MISSING

The first ship, IRIS Dena, was sunk on Wednesday, 19 nautical miles off Sri Lanka's southern port city of Galle, and two freezers had been dispatched ⁠to store the 87 bodies recovered from the sea, he added.

Advertisement Advertisement

Tehran has asked Colombo to help repatriate the bodies, Sri Lanka's deputy minister for health and mass media, Hansaka Wijemuni, told Reuters, adding that a timeframe had not yet been determined.

Iranian Foreign Minister Abbas Araqchi said ​the ​warship was struck in international waters without warning, thousands of miles from ​the Gulf, where U.S. and Israeli forces are ‌striking Iran and Tehran is retaliating with missile and drone attacks.

""The U.S. will bitterly regret the precedent it has set,"" Araqchi said in a post on X, adding that the warship was a guest of India's navy and was carrying almost 130 sailors.

IRIS Dena had taken part in a naval exercise organised by India in the Bay of Bengal from February 18 to 25 and was on its way back, according to the drill's website and Sri Lankan officials.

Advertisement Advertisement

Sri Lankan military rescuers responded to an ‌early-morning distress call from the frigate on Wednesday and found 32 survivors.

Search ​and rescue operations would continue for an estimated 10 people who remain unaccounted ​for, they said.

The Indian Navy said it had also ​launched a search and rescue operation to ""augment"" Sri Lanka's efforts.

The attack dramatically widened the scope of the ‌war.

""An American submarine sank an Iranian warship that thought ​it was safe in international ​waters,"" U.S. Defense Secretary Pete Hegseth said at the Pentagon. ""Instead, it was sunk by a torpedo. Quiet death.""

Advertisement Advertisement

A Pentagon video purporting to have captured the attack showed a huge explosion blowing apart the rear of the vessel, lifting it ​from the water, and causing it to ‌begin sinking from the stern.

(Reporting by Uditha Jayasinghe in Galle and Jana Choukeir and Elwely Elwelly in Dubai; ​Additional reporting by Saurabh Sharma in New Delhi; Writing by Shilpa Jamkhandikar, YP Rajesh and Kanjyik Ghosh; ​Editing by Saad Sayeed, Philippa Fletcher, Andrew Heavens and Diane Craft)",;KILL;CRISISLEX;MILITARY;PROTEST;GENERAL;STRIKE;WB;DRONES;ARMEDCONFLICT;EPU;UNGP;MARITIME;SOC;AFFECT;TAX;RETALIATE;MEDICAL;MANMADE
20260305051500,indiatimes.com,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/why-stock-market-is-rising-today-sensex-jumps-400-pts-nifty-above-24600-4-reasons-behind-market-recovery-amid-geopolitical-jitters/articleshow/129066825.cms,"Sensex jumps 900 pts, Nifty closes above 24,750: 5 factors behind market recovery amid geopolitical jitters","It seems like you're already an ETPrime member with

Login using your ET Prime credentials to enjoy all member benefits

Log out of your current logged-in account and log in again using your ET Prime credentials to enjoy all member benefits.",;KILL;SEIGE;CRISISLEX;MILITARY;GENERAL;WB;ECON;ARMEDCONFLICT;LEADER;EPU;NEGOTIATIONS;UNGP;USPEC;MARITIME;SOC;TAX;CLOSURE;BLOCKADE;TRAFFIC;ENV;MANMADE
20260305054500,indiatimes.com,economictimes.indiatimes.com,https://economictimes.indiatimes.com/nri/latest-updates/flight-cancellations-today-march-5-dubai-airports-resume-limited-operations-as-emirates-qatar-airways-and-gulf-airlines-run-select-flights/articleshow/129068935.cms,"Dubai airports resume limited operations as Emirates, Qatar Airways and other Gulf airlines run select flights","Synopsis

Limited flight operations have resumed across major UAE airports, including Dubai, Abu Dhabi, and Sharjah, handling repatriation, cargo, and select passenger flights. Airlines like Emirates and Etihad have suspended most scheduled services, advising passengers to confirm departures before heading to the airport due to ongoing regional airspace disruptions.",;CRISISLEX;WB;MOVEMENT;ECON;ARMEDCONFLICT;EPU;UNGP;EVACUATION;USPEC;SOC;DISPLACED;AFFECT;TAX;TOURISM;CLOSURE;GOV;MEDICAL;MANMADE
